Stage Name Stage Name,Full Name Full Name,Date of Birth Date of Birth,Group Group,Country Country,Height,Weight,Birthplace Birthplace,Gender
Eunji,Jung Eunji,8/18/1993,Apink,South Korea,163,0,Busan,F
Naeun,Son Naeun,2/10/1994,,South Korea,168,0,Seoul,F
Namjoo,Kim Namjoo,4/15/1995,Apink,South Korea,165,0,Seoul,F
Hayoung,Oh Hayoung,7/19/1996,Apink,South Korea,167,0,Seoul,F
Solji,Heo Solji,1/10/1989,EXID,South Korea,170,0,Seongnam,F
LE,Ahn Hyejin,12/10/1991,EXID,South Korea,168,0,Cheonan,F
Hani,Ahn Hee-yeon,5/1/1992,EXID,South Korea,168,0,Seoul,F
Hyerin,Seo Hyerin,8/23/1993,EXID,South Korea,165,0,Gwangju,F
Junghwa,Park Junghwa,5/8/1995,EXID,South Korea,169,0,Anyang,F
Hyeyeon,Kang Hyeyeon,12/8/1990,BESTie,South Korea,0,0,,F
Uji,Jang Yuji,1/2/1991,,South Korea,0,0,,F
Dahye,Song Dahye,6/12/1993,,South Korea,0,0,,F
Haeryeong,Na Haeryeong,11/11/1994,BESTie,South Korea,0,0,,F
Yubin,Kim Yubin,10/4/1988,Wonder Girls,South Korea,163,0,Gwangju,F
Yenny,Park Yeeun,5/26/1989,Wonder Girls,South Korea,165,0,Goyang,F
Sunmi,Lee Sunmi,5/2/1992,Wonder Girls,South Korea,167,0,Iksan,F
Hyerim,Woo Hyerim,9/1/1992,Wonder Girls,South Korea,167,0,Seoul,F
Fei,Wang FeiFei,4/27/1987,miss A,China,165,0,Haikou,F
Jia,Meng Jia,2/3/1989,miss A,China,166,0,Changja,F
Min,Lee Minyoung,6/21/1991,miss A,South Korea,161,0,Seoul,F
Suzy,Bae Suji,10/10/1994,miss A,South Korea,168,0,Gwangju,F
Jamie,Park Jimin,7/5/1997,15&,South Korea,160,0,Junggu,F
Yerin,Baek Yerin,6/26/1997,15&,South Korea,165,0,Daejeon,F
Jihyo,Park Jisoo,2/1/1997,Twice,South Korea,162,0,Guri,F
Nayeon,Im Nayeon,9/22/1995,Twice,South Korea,163,0,Seoul,F
Jeongyeon,Yoo Jeongyeon,11/1/1996,Twice,South Korea,168,0,Suwon,F
Momo,Hirai Momo,11/9/1996,Twice,Japan,167,0,Kyoto,F
Sana,Minatozaki Sana,12/29/1996,Twice,Japan,168,0,Osaka,F
Mina,Myoui Mina,3/24/1997,Twice,Japan,163,0,San Antonio,F
Dahyun,Kim Dahyun,5/28/1998,Twice,South Korea,165,0,Seongnam,F
Chaeyoung,Son Chaeyoung,4/23/1999,Twice,South Korea,159,0,Seoul,F
Tzuyu,Chou Tzuyu,6/14/1999,Twice,Taiwan,169,0,Tainan,F
Seunghee,Oh Seunghee,10/10/1995,CLC,South Korea,163,0,Gwangju,F
Yujin,Choi Yujin,8/12/1996,Kep1er,South Korea,164,0,Jeonju,F
Seungyeon,Jang Seunyeon,11/6/1996,CLC,South Korea,163,0,Seongnam,F
Sorn,Chonnasorn Sajakul,11/18/1996,CLC,Thailand,164,0,Bangkok,F
YeeEun,Jang Yeeun,8/10/1998,CLC,South Korea,166,0,Dongducheon,F
Hyuna,Moon Hyuna,1/19/1987,,South Korea,172,50,Yeosu,F
Euaerin,Lee Hyemin,5/3/1988,,South Korea,174,48,Seoul,F
Sungah,Son Sungah,7/8/1989,9Muses,South Korea,172,48,Suma,F
Kyungri,Park Kyungri,7/5/1990,9Muses,South Korea,170,50,Busan,F
Hyemi,Pyo Hyemi,4/3/1991,9Muses,South Korea,171,46,Gwangju,F
Minha,Park Minha,6/27/1991,,South Korea,172,47,Seoul,F
Sojin,Jo Sojin,10/11/1991,9Muses,South Korea,170,47,Gwangju,F
Keumjo,Lee Keumjo,12/17/1992,9Muses,South Korea,167,48,Daegu,F
Sowon,Kim Sojung,12/7/1995,Gfriend,South Korea,172,0,Seoul,F
Yerin,Jung Yerin,8/19/1996,Gfriend,South Korea,167,0,Incheon,F
Eunha,Jung Eunbi,5/30/1997,VIVIZ,South Korea,163,0,Seoul,F
Yuju,Choi Yuna,10/4/1997,Gfriend,South Korea,169,0,Goyang,F
SinB,Hwang Eunbi,6/3/1998,VIVIZ,South Korea,165,0,Cheongju,F
Umji,Kim Yewon,8/19/1998,VIVIZ,South Korea,163,0,Incheon,F
Victoria,Song Qian,2/2/1987,f(x),China,168,45,Qingdao,F
Amber,Amber Josephine Liu,9/18/1992,f(x),USA,167,0,Los Angeles,F
Luna,Park Sunyoung,8/12/1993,f(x),South Korea,162,0,Seoul,F
Krystal,Krystal Jung,10/24/1994,f(x),South Korea,165,0,San Francisco,F
Irene,Bae Juhyun,3/29/1991,Red Velvet,South Korea,161,0,Daegu,F
Seulgi,Kang Seulgi,2/10/1994,Red Velvet,South Korea,162,0,Seoul,F
Wendy,Son Seunghwan,2/21/1994,Red Velvet,South Korea,160,0,Seoul,F
Joy,Park Sooyoung,9/3/1996,Red Velvet,South Korea,163,0,Jeju,F
Yeri,Kim Yerim,3/5/1999,Red Velvet,South Korea,158,0,Seoul,F
BoA,Kwon Boa,11/5/1986,,South Korea,0,0,Guri,F
Ailee,Lee Yejin,5/30/1989,,South Korea,165,0,Denver,F
G.NA,Gina Jane Choi,9/13/1987,,Canada,167,0,Edmonton,F
Taeha,Yoo Taeha,10/5/1995,,South Korea,162,0,,F
Seoyul,Seo Yuri,11/26/1997,Berry Good,South Korea,163,0,,F
Daye,Kim Hyunjung,2/25/1998,Berry Good,South Korea,167,0,,F
Sehyung,Kang Sehyung,12/13/1998,Berry Good,South Korea,169,0,,F
Gowoon,Moon Joojeong,12/18/1998,Berry Good,South Korea,167,0,,F
Hyangsuk,Lee Hyangsuk,4/24/1991,2EYES,South Korea,165,0,Seoul,F
Daeun,Jung Daeun,6/3/1994,2EYES,South Korea,161,0,Bucheon,F
Dasom,Lee Dasom,11/13/1993,2EYES,South Korea,164,0,Cheongju,F
Hyerin,Kim Hyerin,6/13/1993,2EYES,South Korea,170,0,Seoul,F
IU,Lee Jieun,5/16/1993,,South Korea,162,0,Seoul,F
Jei,Kim Jinhee,9/5/1989,Fiestar,South Korea,162,0,Bucheon,F
Cao Lu,Cao Lu,8/30/1987,Fiestar,China,166,0,Zhangjiajie,F
Linzy,Im Minji,10/22/1989,Fiestar,South Korea,168,0,Incheon,F
Hyemi,Kim Hyemi,8/10/1990,Fiestar,South Korea,161,0,Seoul,F
Yezi,Lee Yeji,8/26/1994,Fiestar,South Korea,161,0,Gangneung,F
Hana,Shin Bora,4/30/1993,Gugudan,South Korea,0,0,,F
Mimi,Jung Mimi,1/1/1993,Gugudan,South Korea,163,0,,F
Haebin,Han Haebin,8/16/1995,Gugudan,South Korea,0,0,,F
Nayoung,Kim Nayoung,11/23/1995,Gugudan,South Korea,169,50,,F
Sejeong,Kim Sejeong,8/28/1996,Gugudan,South Korea,164,48,,F
Sally,Liu Xiening,10/23/1996,Gugudan,China,0,0,Guangdong,F
Soyee,Jang Sojin,11/21/1996,Gugudan,South Korea,0,0,,F
Mina,Kang Mina,12/4/1999,Gugudan,South Korea,162,48,Icheon,F
Hyeyeon,Cho Hyeyeon,8/5/2000,,South Korea,0,0,,F
Hyojung,Choi Hyojung,7/28/1994,Oh My Girl,South Korea,160,46,Yangyang,F
JinE,Shin Hyejin,1/22/1995,,South Korea,160,48,Pohang,F
Mimi,Kim Mihyun,5/1/1995,Oh My Girl,South Korea,163,50,Jeju,F
Yooa,Yoo Siah,9/17/1995,Oh My Girl,South Korea,160,50,Seoul,F
Seunghee,Hyun Seunghee,1/25/1996,Oh My Girl,South Korea,160,48,Chuncheon,F
Jiho,Kim Jiho,4/4/1997,Oh My Girl,South Korea,165,49,Okcheon,F
Yubin,Bae Yubin,9/9/1997,Oh My Girl,South Korea,161,49,Chuncheon,F
Arin,Choi Yewon,6/18/1999,Oh My Girl,South Korea,163,47,Busan,F
Babysoul,Lee Soojung,7/6/1992,Lovelyz,South Korea,158,41,Gwangju,F
Jiae,Yoo Jiae,5/21/1993,Lovelyz,South Korea,163,43,Seoul,F
Jisoo,Seo Jisoo,2/11/1994,Lovelyz,South Korea,165,46,Incheon,F
Mijoo,Lee Mijoo,9/23/1994,Lovelyz,South Korea,167,47,Okcheon,F
Kei,Kim Jiyeon,3/20/1995,Lovelyz,South Korea,162,47,Incheon,F
JIN,Park Myungeun,6/12/1996,Lovelyz,South Korea,165,47,Busan,F
Sujeong,Ryu Sujeong,11/19/1997,Lovelyz,South Korea,168,48,Daejeon,F
Yein,Jeong Yein,6/4/1998,Lovelyz,South Korea,166,0,Incheon,F
Yujeong,Kim Yujeong,2/14/1992,,South Korea,161,42,Seoul,F
Soyeon,Jung Soyeon,5/4/1994,LABOUM,South Korea,161,44,Gwangju,F
ZN,Bae Jinye,6/9/1994,LABOUM,South Korea,169,48,Bucheon,F
Haein,Yeom Haein,5/19/1995,LABOUM,South Korea,162,45,Ojeonggu,F
Solbin,Ahn Solbin,8/19/1997,LABOUM,South Korea,169,52,Ojeonggu,F
Yulhee,Kim Yulhee,11/27/1997,,South Korea,166,52,Bucheon,F
Boram,Jeon Boram,3/22/1986,,South Korea,155,45,Seoul,F
Qri,Lee Jihyun,12/12/1986,T-ara,South Korea,162,44,Goyang,F
Soyeon,Park Soyeon,10/5/1987,,South Korea,163,46,Andong,F
Eunjung,Ham Eunjung,12/12/1988,T-ara,South Korea,167,47,Seoul,F
Hyomin,Park Sunyoung,5/30/1989,T-ara,South Korea,167,43,Busan,F
Jiyeon,Park Jiyeon,6/7/1993,T-ara,South Korea,167,45,Seoul,F
Solar,Kim Yongsun,2/21/1991,Mamamoo,South Korea,163,43,Seoul,F
Moonbyul,Moon Byulyi,12/22/1992,Mamamoo,South Korea,165,45,Bucheon,F
Wheein,Jung Wheein,4/17/1995,Mamamoo,South Korea,162,43,Jeonju,F
Hwasa,Ahn Hyejin,7/23/1995,Mamamoo,South Korea,162,44,Jeonju,F
Yeoeun,Jung Jieun,1/25/1990,MELODYDAY,South Korea,169,0,,F
Yein,Ahn Yein,5/4/1995,MELODYDAY,South Korea,168,0,,F
Chahee,Park Sooyoung,3/24/1996,MELODYDAY,South Korea,167,0,,F
Yoomin,Na Yoomin,8/29/1993,MELODYDAY,South Korea,165,0,,F
Elkie,Chong Ting Yan,11/2/1998,,Hong Kong,163,45,Hong Kong,F
Eunbin,Kwon Eunbin,1/6/2000,CLC,South Korea,167,48,Seoul,F
Jisoo,Kim Jisoo,1/3/1995,BLACKPINK,South Korea,162,45,Seoul,F
Jennie,Kim Jennie,1/16/1996,BLACKPINK,South Korea,163,50,Anyang,F
Rosé,Roseanne Park,2/11/1997,BLACKPINK,South Korea,167,0,Auckland,F
Lisa,Pranpriya Manoban,3/27/1997,BLACKPINK,Thailand,170,46,Bangkok,F
Hyeji,Jeong Hyeji,4/2/1992,4TEN,South Korea,0,0,Seoul,F
Heeo,Gwak Heeoh,5/2/1994,4TEN,South Korea,0,0,,F
Yoon,Heo Yoon,9/23/1994,4TEN,South Korea,0,0,,F
Hyejin,Baek Hyejin,11/21/1996,4TEN,South Korea,0,0,Sacheon,F
Uee,Kim Yujin,4/9/1988,,South Korea,0,0,Daegu,F
Raina,Oh Hyerin,5/7/1989,After School,South Korea,0,0,Ulsan,F
Nana,Im Jinah,9/14/1991,After School,South Korea,0,0,Cheongju,F
Lizzy,Park Sooyoung,7/31/1992,After School,South Korea,0,0,Busan,F
E-Young,Noh Yiyoung,8/16/1992,After School,South Korea,0,0,Chuncheon,F
Kaeun,Lee Kaeun,8/20/1994,After School,South Korea,0,0,Seoul,F
Kahi,Park Jiyoung,12/25/1980,,South Korea,0,0,Daegu,F
Jooyeon,Lee Jooyeon,3/19/1987,,South Korea,0,0,Seoul,F
Jungah,Kim Jungah,8/2/1983,,South Korea,0,0,Incheon,F
Soyoung,Yoo Soyoung,3/29/1996,,South Korea,0,0,Seoul,F
Bekah,Rebecca Kim,8/11/1989,,South Korea,0,0,Honolulu,F
Chaewon,Kim Chaewon,11/8/1997,APRIL,South Korea,0,0,Gongju,F
Naeun,Lee Naeun,5/5/1999,APRIL,South Korea,0,0,Daejeon,F
Yena,Yang Yena,5/22/2000,APRIL,South Korea,0,0,Daegu,F
Jinsol,Lee Jinsol,12/4/2001,APRIL,South Korea,0,0,Andong,F
Hyunjoo,Lee Hyunjoo,2/5/1998,UNI.T,South Korea,0,0,Seoul,F
Monika,Kang Yeh,5/21/1991,BADKIZ,South Korea,0,0,Seoul,F
LuA,Jo Hankyeung,9/14/1991,BADKIZ,South Korea,0,0,Busan,F
K.Me,Na Miri,4/10/1992,BADKIZ,South Korea,0,0,Yeosu,F
Somin,Jang Somin,11/10/1993,BADKIZ,South Korea,0,0,Gwangmyeon,F
U-Si,Yoo Jiyeon,11/13/1997,BADKIZ,South Korea,0,0,Iksan,F
Gabin,Kim Gabin,9/18/1989,Blady,South Korea,0,0,Busan,F
Dayoung,Kim Dayoung,2/2/1991,Blady,South Korea,0,0,Jeonju,F
Giru,Park Giru,8/14/1991,Blady,South Korea,0,0,Incheon,F
Tina,Christine Joy Park,9/1/1994,Blady,USA,0,0,Los Angeles,F
Yeeun,Hwang Yeeun,1/12/1997,Blady,South Korea,0,0,Gimhae,F
Minyoung,Kim Minyeong,9/12/1990,Brave Girls,South Korea,0,0,Seongnam,F
Yujeong,Nam Yujeong,5/2/1991,Brave Girls,South Korea,0,0,Seoul,F
Eunji,Hong Eunji,7/19/1992,Brave Girls,South Korea,0,0,Seoul,F
Yoojin,Jang Yoojin,9/14/1992,,South Korea,0,0,,F
Yuna,Lee Yuna,4/6/1993,Brave Girls,South Korea,0,0,Seoul,F
Hyeran,Noh Hyeran,4/9/1993,,South Korea,0,0,,F
Hayun,Lee Hayun,8/29/1994,,South Korea,0,0,Changwon,F
Bona,Kim Jiyeon,8/19/1995,Cosmic Girls,South Korea,163,0,Daegu,F
Cheng Xiao,Cheng Xiao,7/15/1998,Cosmic Girls,China,167,0,Shenzhen,F
Dayoung,Im Dayoung,5/14/1999,Cosmic Girls,South Korea,161,0,Jeju,F
Xuanyi,Wu Xuanyi,1/26/1995,Cosmic Girls,China,166,0,Hainan,F
Eunseo,Son Juyeon,5/27/1998,Cosmic Girls,South Korea,167,0,Incheon,F
Yeoreum,Lee Jinsook,1/10/1999,Cosmic Girls,South Korea,161,0,Seoul,F
Seola,Kim Hyunjung,12/24/1994,Cosmic Girls,South Korea,165,0,Seoul,F
Exy,Chu Sojung,11/6/1995,Cosmic Girls,South Korea,166,0,Busan,F
Soobin,Park Soobin,9/14/1996,Cosmic Girls,South Korea,159,0,Seoul,F
Luda,Lee Luda,3/6/1997,Cosmic Girls,South Korea,157,0,Seoul,F
Dawon,Nam Dawon,3/16/1997,Cosmic Girls,South Korea,167,0,Seoul,F
Meiqi,Meng Meiqi,10/15/1998,Cosmic Girls,China,164,0,Luoyang,F
Yeonjung,Yu Yeonjung,8/3/1999,Cosmic Girls,South Korea,167,52,Gwangmyeong,F
Geummi,Baek Boram,6/18/1988,Crayon Pop,South Korea,165,0,Seoul,F
Ellin,Kim Minyoung,4/2/1990,Crayon Pop,South Korea,165,44,Daegu,F
Choa,Heo Minjin,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F
Way,Heo Minsun,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F
Soyul,Park Hyekyeong,5/15/1991,Crayon Pop,South Korea,160,0,Seoul,F
Hanna,Shin Jiyeon,2/19/1994,MIXX,South Korea,170,48,,F
Henny,Kang Gayoung,12/1/1994,,South Korea,168,50,,F
Arie,Jeon Minjae,4/7/2000,MIXX,South Korea,163,45,,F
Liyah,Moon Liya,5/11/2000,MIXX,South Korea,175,52,,F
Jiu,Kim Minji,5/17/1994,Dreamcatcher,South Korea,167,0,Daejeon,F
Sua,Kim Bora,8/10/1994,Dreamcatcher,South Korea,164,0,Changwon,F
Siyeon,Lee Siyeon,10/1/1995,Dreamcatcher,South Korea,170,0,Daegu,F
Yoohyeon,Kim Yoohyeon,1/7/1997,Dreamcatcher,South Korea,171,0,Incheon,F
Dami,Lee Yoobin,3/7/1997,Dreamcatcher,South Korea,163,0,Seoul,F
Hyebin,Lee Hyebin,1/12/1996,MOMOLAND,South Korea,165,44,Andong,F
Yeonwoo,Lee Dabin,8/1/1996,,South Korea,170,49,Seoul,F
Jane,Sung Jiyeon,12/20/1997,MOMOLAND,South Korea,167,46,Changwon,F
Nayun,Kim Nayun,7/31/1998,MOMOLAND,South Korea,167,48,Seoul,F
Joo E,Lee Joowon,8/18/1999,MOMOLAND,South Korea,164,45,Bucheon,F
AhIn,Lee Ahin,9/27/1999,MOMOLAND,South Korea,160,44,Wonju,F
Nancy,Nancy Mcdonie,4/13/2000,MOMOLAND,South Korea,162,45,Daegu,F
Sumin,Ji Sumin,3/3/1994,Sonamoo,South Korea,168,0,Yongin,F
Minjae,Seong Minjae,12/18/1994,Sonamoo,South Korea,165,0,Busan,F
D.ana,Cho Eunae,9/10/1995,Sonamoo,South Korea,170,0,Seoul,F
Nahyun,Kim Nahyun,12/9/1995,Sonamoo,South Korea,170,0,Seoul,F
Euijin,Hong Euijin,10/8/1996,Sonamoo,South Korea,168,0,Gwangju,F
High.D,Kim Dohee,12/21/1996,Sonamoo,South Korea,165,0,Suwon,F
New Sun,Choi Yoonsun,6/19/1997,Sonamoo,South Korea,172,0,,F
T.O.P,Choi Seunghyun,11/4/1987,BIGBANG,South Korea,180,65,Seoul,M
Taeyang,Dong Youngbae,5/18/1988,BIGBANG,South Korea,174,56,Uljeongbu,M
G-Dragon,Kwon Jiyong,8/18/1988,BIGBANG,South Korea,177,58,Seoul,M
Daesung,Daesung,4/26/1989,BIGBANG,South Korea,178,63,Incheon,M
Seungri,Lee Seunghyun,12/12/1990,,South Korea,176,60,Gwangju,M
Leeteuk,Park Jeongsu,7/1/1983,Super Junior,South Korea,179,59,Seoul,M
Heechul,Kim Heechul,7/10/1983,Super Junior,South Korea,179,60,Hoengseong,M
Yesung,Kim Jongwoon,8/24/1984,Super Junior,South Korea,178,64,Seoul,M
Kangin,Kim Youngwoon,1/17/1985,,South Korea,178,70,Seoul,M
Sungmin,Lee Sungmin,1/1/1986,Super Junior,South Korea,175,57,Gyeonggi,M
Shindong,Shin Donghee,9/28/1985,Super Junior,South Korea,178,90,Mungyeong,M
Eunhyuk,Lee Hyukjae,4/4/1986,Super Junior,South Korea,176,58,Ilsan,M
Siwon,Choi Siwon,4/7/1986,Super Junior,South Korea,185,65,Seoul,M
Donghae,Lee Donghae,10/15/1986,Super Junior,South Korea,176,60,Mokpo,M
Ryeowook,Kim Ryeowook,6/21/1987,Super Junior,South Korea,175,58,Incheon,M
Kyuhyun,Cho Kyuhyun,2/3/1988,Super Junior,South Korea,180,68,Seoul,M
Han Geng,Han Geng,2/9/1984,,China,181,66,Mudanjiang,M
Kibum,Kim Kibum,8/21/1987,,South Korea,179,58,Seoul,M
Zhou Mi,Zhou Mi,4/19/1986,Super Junior-M,China,184,64,Wuhan,M
Henry,Henry Lau,10/11/1989,Super Junior-M,Canada,176,63,Toronto,M
Onew,Lee Jinki,12/14/1989,SHINee,South Korea,177,61,Gwangmyeong,M
Jonghyun†,Kim Jonghyun,4/8/1990,,South Korea,173,56,Seoul,M
Key,Kim Kibum,9/23/1991,SHINee,South Korea,179,59,Daegu,M
Minho,Choi Minho,12/9/1991,SHINee,South Korea,181,60,Incheon,M
Taemin,Lee Taemin,7/18/1993,SHINee,South Korea,177,53,Seoul,M
Xiumin,Kim Minseok,3/26/1990,EXO,South Korea,173,65,Guri,M
Suho,Kim Junmyeon,5/22/1991,EXO,South Korea,173,65,Seoul,M
Lay,Zhang Yixing,10/7/1991,EXO,China,177,60,Changsa,M
Baekhyun,Byun Baekhyun,5/6/1992,EXO,South Korea,174,58,Wonmi,M
Chen,Kim Jongdae,9/21/1992,EXO,South Korea,173,64,Silheung,M
Chanyeol,Park Chanyeol,11/27/1992,EXO,South Korea,185,70,Seoul,M
D.O.,Do Kyungsoo,1/12/1993,EXO,South Korea,173,60,Gyeonggi,M
Kai,Kim Jongin,1/14/1994,EXO,South Korea,182,65,Suncheon,M
Sehun,Oh Sehun,4/12/1994,EXO,South Korea,181,63,Seoul,M
Luhan,Lu Han,4/20/1990,,China,178,62,Haidian,M
Kris,Wu Yifan,11/6/1990,,Canada,187,73,Guangzhou,M
Tao,Hwang Zitao,5/2/1993,,China,183,70,Qingdao,M
Jinyoung,Jung Jinyoung,11/18/1991,,South Korea,178,58,Chungju,M
CNU,Shin Dongwoo,6/16/1991,B1A4,South Korea,182,64,Seoul,M
Sandeul,Lee Junghwan,3/20/1992,B1A4,South Korea,178,62,Busan,M
Baro,Cha Sunwoo,9/5/1992,,South Korea,178,63,Gwangju,M
Gongchan,Gong Chansik,8/14/1993,B1A4,South Korea,181,60,Suncheon,M
Yongguk,Bang Yongguk,3/31/1990,B.A.P,South Korea,182,60,Incheon,M
Himchan,Kim Himchan,4/19/1990,B.A.P,South Korea,180,69,Seoul,M
Daehyun,Jung Daehyun,6/28/1993,B.A.P,South Korea,177,63,Busan,M
Youngjae,Yoo Youngjae,1/24/1994,B.A.P,South Korea,178,65,Seoul,M
Jongup,Moon Jongup,2/6/1995,B.A.P,South Korea,176,66,Seoul,M
Zelo,Choi Junhong,10/15/1996,B.A.P,South Korea,182,63,Mokpo,M
Zico,Woo Jiho,9/14/1992,Block B,South Korea,182,65,Seoul,M
Taeil,Lee Taeil,9/24/1990,Block B,South Korea,167,57,Seoul,M
B-Bomb,Lee Minhyuk,12/14/1990,Block B,South Korea,178,60,Seoul,M
Jaehyo,Ahn Jaehyo,12/23/1990,Block B,South Korea,182,60,Busan,M
U-Kwon,Kim Yukwon,4/9/1992,Block B,South Korea,176,63,Suwon,M
Park Kyung,Park Kyung,7/8/1992,Block B,South Korea,176,56,Seoul,M
P.O,Pyo Jihoon,2/2/1993,Block B,South Korea,181,64,Seoul,M
Doojoon,Yoon Doojoon,7/4/1989,Highlight,South Korea,177,66,Goyang,M
Junhyung,Yong Junyung,12/19/1989,Highlight,South Korea,178,64,Seoul,M
Yoseob,Yang Yoseob,1/5/1990,Highlight,South Korea,171,56,Seoul,M
Gikwang,Lee Gikwang,3/30/1990,Highlight,South Korea,171,58,Gwangju,M
Dongwoon,Son Dongwoon,6/6/1991,Highlight,South Korea,181,64,Busan,M
Hyunseung,Jang Hyunseung,9/3/1989,,South Korea,177,58,Suncheon,M
Jin,Kim Seokjin,12/4/1992,BTS,South Korea,179,63,Gwacheon,M
Suga,Min Yoongi,3/9/1993,BTS,South Korea,176,59,Daegu,M
J-Hope,Jung Hoseok,2/18/1994,BTS,South Korea,177,65,Gwangju,M
RM,Kim Namjoon,9/12/1994,BTS,South Korea,181,67,Ilsan,M
Jimin,Park Jimin,10/13/1995,BTS,South Korea,175,61,Busan,M
V,Kim Taehyung,12/30/1995,BTS,South Korea,179,62,Daegu,M
Jungkook,Jeon Jungkook,9/1/1997,BTS,South Korea,178,66,Busan,M
Sungkyu,Kim Sungkyu,4/28/1989,Infinite,South Korea,178,62,Jeonju,M
Dongwoo,Jang Dongwoo,11/22/1990,Infinite,South Korea,171,58,Guri,M
Woohyun,Nam Woohyun,2/8/1991,Infinite,South Korea,176,52,Seoul,M
Hoya,Lee Howon,3/28/1991,,South Korea,178,60,Busan,M
Sungyeol,Lee Sungyeol,8/27/1991,Infinite,South Korea,183,59,Yongin,M
L,Kim Myungsoo,3/13/1992,Infinite,South Korea,180,60,Seoul,M
Sungjong,Lee Sungjong,9/3/1993,Infinite,South Korea,177,54,Gwangju,M
N,Cha Hakyeon,6/30/1990,VIXX,South Korea,180,65,Changwon,M
Leo,Jung Taekwon,11/10/1990,VIXX,South Korea,183,63,Seoul,M
Ken,Lee Jaehwan,4/6/1992,VIXX,South Korea,180,65,Seoul,M
Ravi,Kim Wonsik,2/15/1993,VIXX,South Korea,183,65,Seoul,M
Hongbin,Lee Hongbin,9/29/1993,VIXX,South Korea,181,62,Seoul,M
Hyuk,Han Sanghyuk,7/5/1995,VIXX,South Korea,181,62,Daejeon,M
Jun. K,Kim Minjun,1/15/1988,2PM,South Korea,180,68,Daegu,M
Nichkhun,Nichkhun Horvejkul,6/24/1988,2PM,Thailand,180,64,California,M
Taecyeon,Ok Taecyeon,12/27/1988,2PM,South Korea,185,76,Busan,M
